OTU_id	S1	S2	S3	S4	S5	S6	S7	lca_superkingdom	lca_phylum	lca_class	lca_order	lca_family	lca_genus	diamond_best_hit	diamond_pident	diamond_e-value
Otu2262	5	2	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|499823079|ref|WP_011503813.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_palustris]	85	4.10E-15
Otu2263	6	0	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|760031032|ref|WP_043714008.1|_arsenite_S-adenosylmethyltransferase_[Symbiobacterium_thermophilum]	67.5	2.70E-11
Otu2264	2	5	2	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|738843626|ref|WP_036733180.1|_arsenite_S-adenosylmethyltransferase_[Peptococcaceae__SCADC1_2_3]	65	7.20E-12
Otu2265	3	0	5	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|502959247|ref|WP_013194223.1|_arsenite_S-adenosylmethyltransferase_[Methanohalobium_evestigatum]	70	6.30E-08
Otu2266	5	1	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|656110672|ref|WP_029134203.1|_arsenite_S-adenosylmethyltransferase_[Sedimenticola_selenatireducens]	64.1	2.50E-09
Otu2267	8	1	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermosediminibacter	gi|503040451|ref|WP_013275427.1|_arsenite_S-adenosylmethyltransferase_[Thermosediminibacter_oceani]	57.5	5.70E-09
Otu2268	3	6	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|760031032|ref|WP_043714008.1|_arsenite_S-adenosylmethyltransferase_[Symbiobacterium_thermophilum]	59	2.00E-09
Otu2269	10	1	1	0	0	0	0	Bacteria	Proteobacteria	NA	NA	NA	NA	gi|501722131|ref|WP_012625546.1|_type_11_methyltransferase_[Desulfovibrio_desulfuricans]	75	4.00E-16
Otu227	254	119	45	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|499823079|ref|WP_011503813.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_palustris]	87.5	1.40E-15
Otu2270	4	1	4	0	0	0	0	Bacteria	Proteobacteria	NA	NA	NA	NA	gi|779891832|ref|WP_045367820.1|_methyltransferase_type_11_[Methyloceanibacter_caenitepidi]	70.8	9.00E-17
Otu2271	4	1	3	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|505225303|ref|WP_015412405.1|_MULTISPECIES:_tRNA_(adenine57/58-N1)-methyltransferase_[Methanosarcina]	76.3	1.10E-12
Otu2272	7	0	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|750524168|ref|WP_040806037.1|_arsenite_S-adenosylmethyltransferase_[Nocardia_concava]	85	6.90E-15
Otu2273	128	61	44	0	0	0	0	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	gi|515827967|ref|WP_017258720.1|_arsenite_S-adenosylmethyltransferase_[Pedobacter_arcticus]	50	4.30E-09
Otu2274	2	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|921296454|ref|WP_053231770.1|_arsenite_S-adenosylmethyltransferase_[Sandaracinus_amylolyticus]	67.5	4.60E-11
Otu2275	24	3	0	0	0	0	0	Bacteria	Bacteroidetes	NA	NA	NA	NA	gi|652592741|ref|WP_026977535.1|_arsenite_S-adenosylmethyltransferase_[Flavobacterium_tegetincola]	77.5	7.70E-14
Otu2276	4	1	6	0	0	0	0	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flexibacter	gi|652627156|ref|WP_026999384.1|_arsenite_S-adenosylmethyltransferase_[Flexibacter_elegans]	60	2.00E-09
Otu2277	17	44	35	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|810964930|ref|WP_046368067.1|_arsenite_S-adenosylmethyltransferase_[Flavihumibacter_petaseus]	60	3.90E-10
Otu2278	6	3	0	0	0	0	0	Bacteria	Firmicutes	NA	NA	NA	NA	gi|656252403|ref|WP_029198871.1|_arsenite_S-adenosylmethyltransferase_[Paenibacillus_alginolyticus]	61.5	4.60E-11
Otu2279	8	2	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|506231622|ref|WP_015751397.1|_arsenite_S-adenosylmethyltransferase_[Desulfohalobium_retbaense]	82.5	4.50E-14
Otu228	40	39	19	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|505937203|ref|WP_015723951.1|_arsenite_S-adenosylmethyltransferase_[Desulfobulbus_propionicus]	79.5	1.70E-13
Otu2280	8	4	3	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Otu2281	3	5	0	0	0	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	gi|654873070|ref|WP_028325089.1|_arsenite_S-adenosylmethyltransferase_[Desulfatirhabdium_butyrativorans]	61.5	1.10E-09
Otu2282	10	1	0	0	0	0	0	Bacteria	Proteobacteria	NA	NA	NA	NA	gi|501722131|ref|WP_012625546.1|_type_11_methyltransferase_[Desulfovibrio_desulfuricans]	76.7	1.50E-15
Otu2283	12	3	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|651321841|ref|WP_026446224.1|_arsenite_S-adenosylmethyltransferase_[Acidobacteriaceae__URHE0068]	80	1.20E-14
Otu2284	6	1	4	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|499823079|ref|WP_011503813.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_palustris]	82.5	7.70E-14
Otu2285	6	8	3	0	0	0	0	Bacteria	Firmicutes	NA	NA	NA	NA	gi|738704509|ref|WP_036603132.1|_arsenite_S-adenosylmethyltransferase_[Paenibacillus_sophorae]	75	1.30E-13
Otu2286	6	8	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|492833602|ref|WP_005987556.1|_methylase_involved_in_ubiquinone/menaquinone_biosynthesis_[Desulfovibrio_africanus]	67.5	1.20E-11
Otu2287	7	0	6	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|727227284|ref|WP_033688162.1|_arsenite_S-adenosylmethyltransferase_[Bacillus_cereus]	61.5	8.80E-10
Otu2288	3	5	4	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|499823079|ref|WP_011503813.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_palustris]	85	2.40E-15
Otu2289	115	34	17	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	"gi|760135648|ref|WP_043817016.1|_arsenite_S-adenosylmethyltransferase,_partial_[Rubrivivax_gelatinosus]"	84.6	2.00E-14
Otu229	196	175	153	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|656252403|ref|WP_029198871.1|_arsenite_S-adenosylmethyltransferase_[Paenibacillus_alginolyticus]	61.5	5.10E-10
Otu2290	4	5	6	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	69.2	1.20E-11
Otu2291	1	5	5	0	0	0	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	gi|922783681|ref|WP_053381383.1|_hypothetical_protein_[Nitrospira_moscoviensis]	71.7	7.90E-15
Otu2292	8	5	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|522208193|ref|WP_020715660.1|_hypothetical_protein_[Acidobacteriaceae__KBS_89]	82.5	4.10E-15
Otu2293	8	1	2	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|736112451|ref|WP_034245013.1|_arsenite_S-adenosylmethyltransferase_[Actinotalea_fermentans]	67.5	2.30E-10
Otu2294	10	3	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	"gi|760135648|ref|WP_043817016.1|_arsenite_S-adenosylmethyltransferase,_partial_[Rubrivivax_gelatinosus]"	79.5	2.90E-13
Otu2295	29	0	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|657673216|ref|WP_029475981.1|_arsenite_S-adenosylmethyltransferase_[Dehalococcoidia__SCGC_AB-539-J10]	74.4	9.40E-12
Otu2296	5	7	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	82.1	3.40E-14
Otu2297	11	0	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|490646676|ref|WP_004511671.1|_arsenite_S-adenosylmethyltransferase_[Geobacter_metallireducens]	85	2.40E-15
Otu2298	4	5	3	0	0	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	gi|492833602|ref|WP_005987556.1|_methylase_involved_in_ubiquinone/menaquinone_biosynthesis_[Desulfovibrio_africanus]	62.5	3.90E-10
Otu2299	12	2	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|635640639|ref|WP_024287532.1|_arsenite_S-adenosylmethyltransferase_[Cellulomonas_sp._KRMCY2]	84.6	2.60E-14
Otu23	577	148	121	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	gi|917237152|ref|WP_051843864.1|_arsenite_S-adenosylmethyltransferase_[Streptomyces_sp._NRRL_S-813]	85	9.00E-15
Otu230	17	7	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|550975022|ref|WP_022723236.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_sp._B29]	90	1.10E-15
Otu2300	1	3	10	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|943640183|ref|WP_055469060.1|_methyltransferase_type_11_[Streptomyces_sp._NBRC_110030]	66.7	4.90E-12
Otu2301	5	6	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|501979004|ref|WP_012682192.1|_arsenite_S-adenosylmethyltransferase_[Gemmatimonas_aurantiaca]	75	3.80E-13
Otu2302	0	5	7	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|653117177|ref|WP_027366729.1|_methyltransferase_type_11_[Desulfovibrio_africanus]	67.5	6.10E-11
Otu2303	0	11	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|739373310|ref|WP_037234292.1|_arsenite_S-adenosylmethyltransferase_[Rhodomicrobium_udaipurense]	77.5	2.20E-13
Otu2304	5	2	4	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|503186410|ref|WP_013421071.1|_arsenite_S-adenosylmethyltransferase_[Rhodomicrobium_vannielii]	87.5	9.00E-15
Otu2305	9	2	2	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|760031032|ref|WP_043714008.1|_arsenite_S-adenosylmethyltransferase_[Symbiobacterium_thermophilum]	77.5	1.10E-12
Otu2306	6	10	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|760031032|ref|WP_043714008.1|_arsenite_S-adenosylmethyltransferase_[Symbiobacterium_thermophilum]	72.5	8.50E-13
Otu2307	6	3	6	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|851314766|ref|WP_048177906.1|_arsenite_S-adenosylmethyltransferase_[Methanosarcina_sp._MTP4]	71.8	1.50E-12
Otu2308	14	0	2	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|981213003|ref|WP_059435899.1|_arsenite_S-adenosylmethyltransferase_[Anaeromyxobacter_sp._PSR-1]	75	5.00E-13
Otu2309	3	4	5	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|820748555|ref|WP_046737449.1|_arsenite_S-adenosylmethyltransferase_[Dehalogenimonas_sp._WBC-2]	73.7	1.60E-11
Otu231	116	191	111	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|981213003|ref|WP_059435899.1|_arsenite_S-adenosylmethyltransferase_[Anaeromyxobacter_sp._PSR-1]	70	2.10E-11
Otu2310	16	5	9	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|499823079|ref|WP_011503813.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_palustris]	85	4.10E-15
Otu2311	6	3	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|851320234|ref|WP_048183374.1|_arsenite_S-adenosylmethyltransferase_[Methanoculleus_sp._S3Fa]	72.5	8.50E-13
Otu2312	6	6	6	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|760031032|ref|WP_043714008.1|_arsenite_S-adenosylmethyltransferase_[Symbiobacterium_thermophilum]	74.4	4.20E-12
Otu2313	11	1	3	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|501450751|ref|WP_012474200.1|_arsenite_S-adenosylmethyltransferase_[Chlorobium_phaeobacteroides]	55	3.70E-08
Otu2314	79	21	12	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|501980888|ref|WP_012682757.1|_arsenite_S-adenosylmethyltransferase_[Gemmatimonas_aurantiaca]	67.5	7.90E-11
Otu2315	11	12	6	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|929006514|ref|WP_054030453.1|_arsenite_S-adenosylmethyltransferase_[Desulfatitalea_tepidiphila]	66.7	2.70E-11
Otu2316	26	0	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	76.3	4.20E-12
Otu2317	47	41	23	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	gi|947144867|ref|WP_055917960.1|_arsenite_S-adenosylmethyltransferase_[Cellulomonas_sp._Root485]	72.5	9.40E-12
Otu2318	20	0	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|640258314|ref|WP_024840951.1|_arsenite_S-adenosylmethyltransferase_[Cellulosimicrobium_cellulans]	62.5	6.70E-10
Otu2319	15	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|851320234|ref|WP_048183374.1|_arsenite_S-adenosylmethyltransferase_[Methanoculleus_sp._S3Fa]	65	4.20E-12
Otu232	0	0	1	71	115	490	101	Bacteria	Proteobacteria	NA	NA	NA	NA	gi|550904755|ref|WP_022657942.1|_arsenite_S-adenosylmethyltransferase_[Desulfovibrio_desulfuricans]	81.4	1.20E-15
Otu2320	6	3	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|771601551|ref|WP_045214237.1|_arsenite_S-adenosylmethyltransferase_[Desulfonatronovibrio_magnus]	80	2.60E-14
Otu2321	5	3	4	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|966391489|ref|WP_058438253.1|_arsenite_S-adenosylmethyltransferase_[Dehalogenimonas_alkenigignens]	60	3.00E-10
Otu2322	3	6	5	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|851289718|ref|WP_048153401.1|_arsenite_S-adenosylmethyltransferase_[Methanosarcina_sp._Kolksee]	71.1	1.90E-12
Otu2323	5	4	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|922783416|ref|WP_053381118.1|_arsenite_S-adenosylmethyltransferase_[Nitrospira_moscoviensis]	82.5	2.00E-14
Otu2324	7	5	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|851320234|ref|WP_048183374.1|_arsenite_S-adenosylmethyltransferase_[Methanoculleus_sp._S3Fa]	80	1.00E-13
Otu2325	5	8	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|640258314|ref|WP_024840951.1|_arsenite_S-adenosylmethyltransferase_[Cellulosimicrobium_cellulans]	75	1.90E-12
Otu2326	14	2	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	64.1	2.30E-10
Otu2327	5	1	4	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|663699270|ref|WP_030476143.1|_arsenite_S-adenosylmethyltransferase_[Lentzea_albidocapillata]	72.5	3.20E-12
Otu2328	9	1	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|740740956|ref|WP_038526242.1|_arsenite_S-adenosylmethyltransferase_[Formosa_agariphila]	62.5	4.20E-12
Otu2329	3	7	5	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|522200175|ref|WP_020707642.1|_hypothetical_protein_[Acidobacteriaceae__KBS_83]	87.5	3.70E-16
Otu233	176	23	12	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|947144867|ref|WP_055917960.1|_arsenite_S-adenosylmethyltransferase_[Cellulomonas_sp._Root485]	75	2.10E-11
Otu2330	13	10	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|499823079|ref|WP_011503813.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_palustris]	82.5	2.60E-14
Otu2331	1	9	0	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|727227284|ref|WP_033688162.1|_arsenite_S-adenosylmethyltransferase_[Bacillus_cereus]	71.8	1.90E-12
Otu2332	3	10	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|922783416|ref|WP_053381118.1|_arsenite_S-adenosylmethyltransferase_[Nitrospira_moscoviensis]	85	3.10E-15
Otu2333	32	60	23	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|851285920|ref|WP_048149674.1|_arsenite_S-adenosylmethyltransferase_[Methanolacinia_paynteri]	64.1	4.30E-09
Otu2334	9	1	0	0	0	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	gi|500472479|ref|WP_011939313.1|_type_11_methyltransferase_[Geobacter_uraniireducens]	80	2.50E-12
Otu2335	1	8	5	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|506231622|ref|WP_015751397.1|_arsenite_S-adenosylmethyltransferase_[Desulfohalobium_retbaense]	75	6.50E-13
Otu2336	4	6	2	0	0	0	0	Bacteria	Proteobacteria	NA	NA	NA	NA	gi|501722131|ref|WP_012625546.1|_type_11_methyltransferase_[Desulfovibrio_desulfuricans]	84.1	2.40E-16
Otu2337	11	1	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|829074989|ref|WP_047308040.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_palustris]	85	3.10E-15
Otu2338	6	4	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|503186410|ref|WP_013421071.1|_arsenite_S-adenosylmethyltransferase_[Rhodomicrobium_vannielii]	87.5	2.40E-15
Otu2339	9	3	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	NA	NA	gi|502883608|ref|WP_013118584.1|_arsenite_S-adenosylmethyltransferase_[Cellulomonas_flavigena]	77.5	1.40E-12
Otu234	52	15	12	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|550975022|ref|WP_022723236.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_sp._B29]	90	8.20E-16
Otu2340	4	2	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|522208193|ref|WP_020715660.1|_hypothetical_protein_[Acidobacteriaceae__KBS_89]	90	2.80E-16
Otu2341	11	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Otu2342	6	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|851309930|ref|WP_048173239.1|_arsenite_S-adenosylmethyltransferase_[Methanosarcina_sp._2.H.A.1B.4]	60	9.70E-09
Otu2343	10	0	5	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|851292562|ref|WP_048156245.1|_arsenite_S-adenosylmethyltransferase_[Methanosarcina_barkeri]	69.2	5.10E-10
Otu2344	9	0	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	77.5	2.90E-13
Otu2345	10	6	10	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|760031032|ref|WP_043714008.1|_arsenite_S-adenosylmethyltransferase_[Symbiobacterium_thermophilum]	64.1	3.90E-10
Otu2346	10	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|917663895|ref|WP_052218422.1|_arsenite_S-adenosylmethyltransferase_[Thermincola_ferriacetica]	62.5	1.50E-09
Otu2347	0	6	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|750524168|ref|WP_040806037.1|_arsenite_S-adenosylmethyltransferase_[Nocardia_concava]	75	5.00E-13
Otu2348	7	2	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|780001260|ref|WP_045432493.1|_arsenite_S-adenosylmethyltransferase_[bacterium_UASB270]	64.1	4.30E-09
Otu2349	1	7	4	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	79.5	8.50E-13
Otu235	78	134	80	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|492833602|ref|WP_005987556.1|_methylase_involved_in_ubiquinone/menaquinone_biosynthesis_[Desulfovibrio_africanus]	70	1.40E-12
Otu2350	5	1	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|760031032|ref|WP_043714008.1|_arsenite_S-adenosylmethyltransferase_[Symbiobacterium_thermophilum]	77.5	2.20E-13
Otu2351	3	1	3	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|727227284|ref|WP_033688162.1|_arsenite_S-adenosylmethyltransferase_[Bacillus_cereus]	64.1	7.90E-11
Otu2352	2	5	5	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|950275798|ref|WP_057311336.1|_arsenite_S-adenosylmethyltransferase_[Paenibacillus_sp._Soil766]	61.5	1.00E-10
Otu2353	0	0	7	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|851309930|ref|WP_048173239.1|_arsenite_S-adenosylmethyltransferase_[Methanosarcina_sp._2.H.A.1B.4]	71.8	7.20E-12
Otu2354	14	6	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|651321841|ref|WP_026446224.1|_arsenite_S-adenosylmethyltransferase_[Acidobacteriaceae__URHE0068]	90	2.20E-16
Otu2355	2	5	1	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	gi|920138574|ref|WP_052955265.1|_hypothetical_protein_[Mycobacterium_nebraskense]	85.4	2.10E-14
Otu2356	6	2	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|750524168|ref|WP_040806037.1|_arsenite_S-adenosylmethyltransferase_[Nocardia_concava]	80	2.60E-14
Otu2357	2	7	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|916494962|ref|WP_051130338.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sp._ALR17-21]	66.7	1.40E-10
Otu2358	0	5	4	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|851271986|ref|WP_048142438.1|_MULTISPECIES:_arsenite_S-adenosylmethyltransferase_[Methanosarcina]	71.8	1.00E-10
Otu2359	6	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Otu236	21	12	7	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|760031032|ref|WP_043714008.1|_arsenite_S-adenosylmethyltransferase_[Symbiobacterium_thermophilum]	87.5	1.10E-15
Otu2360	1	4	3	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|651321841|ref|WP_026446224.1|_arsenite_S-adenosylmethyltransferase_[Acidobacteriaceae__URHE0068]	90	4.80E-16
Otu2361	1	6	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|727227284|ref|WP_033688162.1|_arsenite_S-adenosylmethyltransferase_[Bacillus_cereus]	64.1	1.00E-10
Otu2362	54	17	8	0	0	0	0	Bacteria	Proteobacteria	NA	NA	NA	NA	gi|501722131|ref|WP_012625546.1|_type_11_methyltransferase_[Desulfovibrio_desulfuricans]	81.8	1.40E-16
Otu2363	8	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|652627156|ref|WP_026999384.1|_arsenite_S-adenosylmethyltransferase_[Flexibacter_elegans]	42.5	0.00032
Otu2364	2	4	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|651321841|ref|WP_026446224.1|_arsenite_S-adenosylmethyltransferase_[Acidobacteriaceae__URHE0068]	82.5	6.90E-15
Otu2365	8	1	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|652388993|ref|WP_026784876.1|_arsenite_S-adenosylmethyltransferase_[Pleomorphomonas_koreensis]	87.5	5.30E-15
Otu2366	12	0	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|550975022|ref|WP_022723236.1|_arsenite_S-adenosylmethyltransferase_[Rhodopseudomonas_sp._B29]	90	6.30E-16
Otu2367	25	3	1	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|917663895|ref|WP_052218422.1|_arsenite_S-adenosylmethyltransferase_[Thermincola_ferriacetica]	67.5	1.80E-10
Otu2368	7	2	1	0	0	0	0	NA	NA	NA	NA	NA	NA	gi|921296454|ref|WP_053231770.1|_arsenite_S-adenosylmethyltransferase_[Sandaracinus_amylolyticus]	65	5.10E-10
Otu2369	5	4	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|505140033|ref|WP_015327135.1|_methylase_involved_in_ubiquinone/menaquinone_biosynthesis_[Halobacteroides_halobius]	74.4	2.90E-13
Otu237	36	28	29	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|851320234|ref|WP_048183374.1|_arsenite_S-adenosylmethyltransferase_[Methanoculleus_sp._S3Fa]	77.5	5.00E-13
Otu2370	16	0	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|488859335|ref|WP_002771645.1|_arsenite_S-adenosylmethyltransferase_[Leptonema_illini]	66.7	2.00E-09
Otu2371	2	5	2	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	gi|806837003|ref|WP_046185264.1|_arsenite_S-adenosylmethyltransferase_[Mycobacterium_nebraskense]	67.5	6.10E-11
Otu2372	2	3	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|651321841|ref|WP_026446224.1|_arsenite_S-adenosylmethyltransferase_[Acidobacteriaceae__URHE0068]	82.5	1.80E-15
Otu2373	2	4	1	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|671511731|ref|WP_031497805.1|_arsenite_S-adenosylmethyltransferase_[Bryobacter_aggregatus]	90	1.10E-15
Otu2374	8	0	0	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|517784553|ref|WP_018954761.1|_arsenite_S-adenosylmethyltransferase_[Thioalkalivibrio_sulfidiphilus]	81.6	1.00E-13
Otu2375	5	3	0	0	0	0	0	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	gi|501450751|ref|WP_012474200.1|_arsenite_S-adenosylmethyltransferase_[Chlorobium_phaeobacteroides]	60	4.30E-09
Otu2376	5	1	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|500005407|ref|WP_011686125.1|_arsenite_S-adenosylmethyltransferase_[Candidatus_Solibacter_usitatus]	85	9.00E-15
Otu2377	13	8	8	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|651321841|ref|WP_026446224.1|_arsenite_S-adenosylmethyltransferase_[Acidobacteriaceae__URHE0068]	77.5	3.80E-13
Otu2378	5	3	2	0	0	0	0	Bacteria	NA	NA	NA	NA	NA	gi|493766661|ref|WP_006715242.1|_arsenite_S-adenosylmethyltransferase_[Desulfitobacterium_metallireducens]	82.5	2.20E-13
